input_size,workload,delay_tolerance,v_left,rsu1_left,rsu2_left,rsu3_left,bandwidth
975.909,186.25,81.1278,58.1818,428.688,192.395,284.615,1.55345
54.1212,963.312,644.656,115.477,360.661,161.691,451.015,1.90606
188.242,1358.88,672.989,14.8144,491.862,184.951,247.508,0.865932
796.151,1062.88,355.6,51.7121,393.183,114.988,445.108,1.90436
772.515,602.375,670.378,52.1326,409.899,44.4198,434.031,1.97253
803.394,261.625,462.378,102.659,301.67,385.037,6.13846,0.273019
749,1904.62,82.1556,56.2386,466.67,10.7654,311.385,0.964385
361.152,172.438,402.517,20.4053,235.211,162.827,411.831,1.13828
782.091,47.625,804.628,1.20076,494.817,173.284,225.123,1.88372
232.909,1506.88,685.072,40.8674,322.138,392.099,231.262,1.1973
517.909,421.625,398.406,15.4545,295.037,396.346,164.431,0.730003
721.758,643.562,814.489,58.0947,356.395,180.593,171.185,1.99042
315.303,939.5,25.5444,29.3333,393.495,93.3827,102.8,0.101688
617.455,1448.12,863.961,117.371,423.505,341.395,423.431,1.20652
954.212,626.875,633.461,120.765,431.844,276.519,401.692,0.857753
776.606,937.875,127.933,117.027,361.541,309.852,91.9538,1.14719
359.03,136.625,157.961,69.6856,300.422,195.333,260.831,1.93658
699.849,565.625,391.683,84.3068,462.183,167.877,211.523,0.118595
773.606,1418.81,420.044,107.148,407.183,296.728,264.338,1.06882
797.061,1716.25,875.35,32.3523,405.642,89.284,276.123,1.38298
601.333,467.062,79.7944,4.26515,481.092,178.432,452.908,1.81109
690.636,326.875,582.406,18.8788,337.45,37.963,375.446,1.63427
234.182,852.938,527.35,100.602,216.771,31.8148,475.415,0.362438
289.939,662.875,571.961,34.1439,479.853,123.432,369.831,0.0136723
56.0606,1007.94,162.794,51.7955,257.459,314.765,307.677,1.25639
937.667,1722.56,38.7667,90.6742,479.963,400.148,136.415,0.698691
85.303,1398,304.794,13.0758,209.211,59.2469,26,0.490127
452.879,877.125,565.683,18.1553,298.789,110.58,382.462,0.339244
293.667,933.688,0.544444,38.5303,300.193,286.222,147.892,0.224189
223.424,986.812,600.433,80.6629,235.881,12.8889,496.877,1.32102
144.091,88.1875,245.378,54.447,371.982,391.605,19.1846,1.09024
299.424,65.5625,891.961,57.8485,390.284,106.951,497.769,0.261238
356.364,548,346.433,34.3485,411.523,44.1481,297.338,0.653279
640.485,932.812,208.072,17.3333,459.789,40.5185,18.3692,1.53777
478.455,434.812,567.156,3.32955,218.761,122.519,456.292,1.92016
355.455,1494.12,249.128,47.5303,479.523,172.704,380.538,1.26432
237.212,1547.88,158.683,120.038,314.44,264.383,387.6,0.22663
179.273,1041.12,899.822,68.0871,395.697,58.4815,177.877,1.20853
231.848,1042.38,363.378,91.4242,480.385,309.099,47.7846,0.623676
25.4848,1643.94,183.072,90.2348,278.174,17.9506,500.031,1.94794
15.1515,375.5,586.461,30.4583,441.798,375.198,177.262,1.25822
830.818,1115.38,82.35,58.2576,269.936,126.519,137.6,1.3311
47.4242,1888.75,52.2667,26.0644,286.495,381.556,57.2615,1.47093
544.545,1675.38,739.017,16.75,273.56,267.037,428.492,1.29679
603.818,1282.25,422.017,38.8826,320.459,225.975,371.169,0.645589
429.697,74.75,575.294,107.242,276.514,30.2469,84.6923,0.563799
148.152,1644.94,754.878,122.833,359.725,216.568,79.3692,1.50853
606.576,1740.06,322.656,21.7538,413.385,81.716,164.554,1.87695
155.606,2000.88,314.239,103.678,262.339,137.84,414.785,1.82714
12.0303,121.375,289.572,23.4129,464.44,140.716,33.9692,1.6422
30.303,371.375,600.794,79.8561,497.908,187.765,371.415,1.55748
557.636,668.875,681.6,58.697,293.67,43.6667,448.185,0.144841
23.5758,1177.31,269.017,7.93939,349.743,145.049,321.754,0.679647
871.485,1948.88,678.85,64.3409,324.339,251.432,143.062,1.37785
763.606,1445.5,705.072,110.405,363.266,2.71605,151.954,0.495926
258.485,1036,622.711,103.587,248.468,182.198,51.2,0.0578631
